abash, to make ashamed, verb 
fatalist, one who maintains all things happen by inevitable necessity, noun 
fathom," to penetrate to the truth of, comprehend, understand", verb 
fatuous," foolish or inane, especially in an unconscious manner, silly", adjective 
faulty, having or displaying faults not adequate or acceptable, adjective 
faun, mythical woodland creature with pointed ears and short horns, noun 
fauna, animals of a given region or period considered as a whole, noun 
faux," pas a slip or blunder in etiquette, manners, or conduct", noun 
fawn, to exhibit affection or attempt to please, verb 
fealty," fidelity, faithfulness", noun 
feasible, that can be done in practice, adjective 
febrile," feverish, or having a high temperature", adjective 
feckless," ineffective, incompetent, futile", adjective 
fecund," highly fertile, able to produce offspring", adjective 
federate, to unite in a federation, verb 
feign," to represent by a false appearance of, to pretend", verb 
feint, a movement made in order to deceive an adversary, verb 
felicitate," to congratulate, to compliment upon a happy event", verb 
felicitous," well-suited for the occasion, as an action or expression", adjective 
felicity," happiness, especially to a high degree", noun 
felon, a person convicted of a felony, noun 
felonious," having the quality of felony, malignant, malicious", adjective 
felony," an offense, as murder or burglary, of grave character", noun 
feminine," of the female sex, biologically female, not male, womanly", adjective 
feral," existing in a natural state, not domesticated, wild", adjective 
ferment," living organisms (yeasts, molds) that cause fermentation", noun 
fernery, specialized garden for the cultivation and display of ferns, noun 
ferocious, marked by extreme and violent energy, adjective 
ferocity," the condition of being ferocious, savage fierceness", noun 
fertile," capable of growing abundant crops, productive", adjective 
fertilize, to make (the soil) more fertile by adding nutrients to it, verb 
fervent, having or showing great warmth or intensity of spirit, adjective 
fervid," heated or vehement in spirit, enthusiasm, etc", adjective 
fervor," an intense, heated emotion, passion, ardor", noun 
festal," festive, relating to a festival or feast", adjective 
festive," having the atmosphere,or attitude of a celebration", adjective 
fete, to celebrate (a person), verb 
fetid," having an offensive odor, stinking", adjective 
fetish, an object seen as being the habitation of a spirit, noun 
fetter, to shackle or bind up with fetters, verb 
fetus, an unborn vertebrate showing signs of the mature animal, noun 
feudal," of, or relating to the feudal system", adjective 
feudalism, social system based on personal resources and fealty, noun 
fiasco, a complete and ignominious failure, noun 
fiat," an authoritative command or order, an effectual decree", noun 
fickle," likely to change, casually changeable", adjective 
fictitious," not real, invented, contrived", adjective 
fidelity, faithfulness to one's duties, noun 
fidget," to wiggle or twitch, to move around nervously or idly", verb 
fiducial, accepted as a fixed basis of reference, adjective 
fief, a territory held in fee, noun 
figment," a fabrication, fantasy, invention, something fictitious", noun 
figurative," metaphorical, as opposed to literal", adjective 
figurehead, person who is head of a group in title but has no authority, noun 
filch," to steal, to illegally take possession of", verb 
filial," of, pertaining to, or befitting a son or daughter", adjective 
filibuster, to force a decision, verb 
financial, pertaining or relating to money matters, adjective 
financier, a person skilled in managing large financial operations, noun 
finery," fine or showy dress, ornaments, etc", noun 
finesse," extreme delicacy or subtlety in action, performance, etc", verb 
finicky," fastidious and fussy, difficult to please, exacting", adjective 
finite," having bounds or limits, not infinite, measurable", adjective 
fiscal," related to the treasury of a country, company, or region", adjective 
fishmonger, a person who sells fish, noun 
fission, the act of cleaving or splitting into parts, verb 
fissure, narrow opening produced by cleavage or separation of parts, noun 
fitful," irregular, unsteady, characterized by fits", adjective 
fixture," to furnish with, as, or in a fixture", verb 
flabbergasted, simple past tense and past participle of flabbergast, verb 
flaccid," soft and limp, not firm, flabby", adjective 
flag-officer," ship carrying the flag officer or commander, flying his flag", noun 
flagrant," obvious and offensive, blatant, scandalous", adjective 
flair," a natural or innate talent or aptitude, a knack", noun 
flamboyant," showy, bold or audacious in behaviour, appearance, etc", adjective 
flammable," capable of burning, especially a liquid", adjective 
flatulence," the state of having gas, trapped in the digestive system", noun 
flaunt," to parade, display with ostentation", verb 
flax," a plant of the genus linum which has a single, slender stalk", noun 
fledgling, untried or inexperienced, adjective 
fleeting," passing swiftly, vanishing quickly, transient, transitory", verb 
flexibility," the quality of being flexible, suppleness, pliability", noun 
flexible," capable of being flexed, bent or twisted, without breaking", adjective 
flexion, the act of bending a limb, noun 
flimsy," likely to bend or break under pressure, weak, shaky", adjective 
flinch, to make an involuntary movement in response to stimulus, verb 
flippant," frivolously disrespectful, shallow or lacking in seriousness", adjective 
floe," a low, flat mass of floating ice", noun 
flora," plants considered as a group, esp. those of one region", noun 
